epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,29376.4,0.86547,0.37367,1.02794,0.8776,0.8328,0.87454,0.4841,1.39015,0.61344,1.14671,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,29676.2,0.86498,0.37028,1.01972,0.8778,0.8328,0.87182,0.4832,1.39153,0.61393,1.14723,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,29978,0.85852,0.36728,1.02127,0.87738,0.83241,0.87337,0.48326,1.39308,0.61349,1.14759,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,30275.7,0.85461,0.36697,1.02476,0.87671,0.83177,0.87275,0.4825,1.3936,0.61356,1.14773,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,30576.1,0.84772,0.36342,1.02068,0.87557,0.83202,0.8721,0.48272,1.39473,0.61392,1.14809,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,30877.7,0.84652,0.36371,1.01799,0.87515,0.83331,0.87117,0.48238,1.39655,0.61476,1.14805,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,31184,0.84394,0.36124,1.01224,0.87472,0.8328,0.86991,0.48232,1.39749,0.61532,1.14823,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,31484.9,0.83447,0.35791,1.00885,0.8718,0.8328,0.8683,0.48168,1.39905,0.61627,1.14861,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,31781.5,0.83378,0.35705,1.00647,0.87284,0.83471,0.86985,0.48188,1.40038,0.61676,1.14947,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,32085,0.83645,0.35815,1.00542,0.87171,0.83408,0.86884,0.4816,1.4019,0.61571,1.15038,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,32391.3,0.82953,0.35462,1.00599,0.87248,0.8351,0.86894,0.48108,1.4024,0.61499,1.15056,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,32699.1,0.82278,0.35322,1.00184,0.87134,0.83522,0.86938,0.48115,1.40363,0.61604,1.15118,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,33009.3,0.82264,0.35301,1.00129,0.87067,0.83598,0.86946,0.4805,1.40369,0.61547,1.15159,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,33316.8,0.8165,0.35104,1.00539,0.87028,0.83471,0.86894,0.48039,1.40544,0.61648,1.15266,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,33620.7,0.80867,0.34538,0.99897,0.87058,0.83598,0.86958,0.48016,1.40677,0.61567,1.15197,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,33935.2,0.8049,0.34772,0.98977,0.87203,0.83612,0.86894,0.48066,1.40827,0.61722,1.15289,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,34226.1,0.79825,0.34258,0.98644,0.87232,0.83598,0.86883,0.48082,1.40913,0.61732,1.15344,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,34507.4,0.79293,0.34258,0.98485,0.87055,0.83535,0.86788,0.48034,1.41008,0.61744,1.15401,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,34788,0.79011,0.34119,0.98471,0.87347,0.83662,0.86855,0.47969,1.41189,0.61835,1.15474,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
